scientificName,year,lon,lat,presence,row_code
Marmosops noctivagus,2019,-76.6457940,0.1925550,1,1
Marmosops noctivagus,2012,-73.8162000,-1.5176000,1,2
Marmosops noctivagus,2011,-77.6900000,-2.1500000,1,3
Marmosops noctivagus,2009,-72.9175000,-2.7928000,1,4
Marmosops noctivagus,2007,-77.5261100,-5.7533600,1,5
Marmosops noctivagus,1995,-76.4500000,-0.6500000,1,6
Marmosops noctivagus,2006,-76.4499970,-0.6600000,1,7
Marmosops noctivagus,2006,-76.4320000,-0.6860000,1,8
Marmosops noctivagus,2005,-76.3749900,-7.7467220,1,9
Marmosops noctivagus,2003,-67.8733330,-16.1944440,1,10
Marmosops noctivagus,2003,-67.8675000,-16.1944440,1,11
Marmosops noctivagus,2003,-67.5030560,-16.3608330,1,12
Marmosops noctivagus,2001,-71.5462310,-13.0546690,1,13
Marmosops noctivagus,2001,-71.3854670,-12.7717170,1,14
Marmosops noctivagus,2001,-71.4918500,-13.0236170,1,15
Marmosops noctivagus,1999,-71.5687500,-13.1005330,1,16
Marmosops noctivagus,1998,-73.3406000,-11.7794000,1,17
Marmosops noctivagus,1998,-73.3258000,-11.7669000,1,18
Marmosops noctivagus,1998,-73.5130000,-12.8650000,1,19
Marmosops noctivagus,1994,-73.1833330,-4.3333330,1,20
Marmosops noctivagus,1994,-73.1833330,-4.3166670,1,21
Marmosops noctivagus,1993,-73.9588463,-4.6720100,1,22
Marmosops noctivagus,1993,-76.1161755,-2.5815219,1,23
Marmosops noctivagus,1993,-76.1161756,-2.5560502,1,24
Marmosops noctivagus,1993,-66.4833330,-17.0333330,1,25
Marmosops noctivagus,1991,-65.5833330,-17.0166670,1,26
Marmosops noctivagus,1993,-66.0000000,-17.0333330,1,27
Marmosops noctivagus,1993,-65.9847220,-17.0413890,1,28
Marmosops noctivagus,1993,-66.0133330,-17.0666670,1,29
Marmosops noctivagus,1993,-66.0000000,-17.0666700,1,30
Marmosops noctivagus,1992,-72.7833330,-8.6666670,1,31
Marmosops noctivagus,1992,-72.8166670,-8.3666670,1,32
Marmosops noctivagus,1992,-69.2950000,-12.8380000,1,33
Marmosops noctivagus,1992,-68.9130000,-12.9550000,1,34
Marmosops noctivagus,1992,-69.6070000,-13.1420000,1,35
Marmosops noctivagus,1992,-66.0166670,-3.3166670,1,36
Marmosops noctivagus,1992,-66.7330000,-10.7670000,1,37
Marmosops noctivagus,1992,-67.4500000,-16.0833330,1,38
Marmosops noctivagus,1992,-67.4333330,-16.0833330,1,39
Marmosops noctivagus,1992,-67.5166700,-15.7333300,1,40
Marmosops noctivagus,1992,-67.7500000,-16.1500000,1,41
Marmosops noctivagus,1991,-70.0833330,-6.8333330,1,42
Marmosops noctivagus,1991,-70.8500000,-6.7500000,1,43
Marmosops noctivagus,1990,-69.0544900,-12.6000000,1,44
Marmosops noctivagus,1990,-68.2500000,-13.8800000,1,45
Marmosops noctivagus,1990,-76.9500000,-1.1167000,1,46
Marmosops noctivagus,1987,-72.0670860,-13.1016830,1,47
Marmosops noctivagus,1987,-72.0507780,-13.1149750,1,48
Marmosops noctivagus,1986,-76.4366800,-0.2571500,1,49
Marmosops noctivagus,1986,-70.4444000,-13.7248100,1,50
Marmosops noctivagus,1985,-69.2213600,-14.2060400,1,51
Marmosops noctivagus,1986,-67.5666670,-11.4166670,1,52
Marmosops noctivagus,1986,-68.2333330,-12.1333330,1,53
Marmosops noctivagus,1986,-68.2400000,-12.1300000,1,54
Marmosops noctivagus,1986,-70.5600000,-11.4200000,1,55
Marmosops noctivagus,1986,-67.5833300,-15.6333300,1,56
Marmosops noctivagus,1985,-71.5544500,-13.0636800,1,57
Marmosops noctivagus,1985,-71.2500000,-12.9333000,1,58
Marmosops noctivagus,1984,-69.0728900,-12.6000000,1,59
Marmosops noctivagus,1984,-68.8196700,-12.4666700,1,60
Marmosops noctivagus,1984,-71.2000000,-12.9000000,1,61
Marmosops noctivagus,1984,-72.7060000,-3.1990000,1,62
Marmosops noctivagus,1983,-76.3222200,-0.0533330,1,63
Marmosops noctivagus,1979,-67.5500030,-15.4666700,1,64
Marmosops noctivagus,1979,-67.7666700,-16.3500000,1,65
Marmosops noctivagus,1979,-65.8000000,-11.0833300,1,66
Marmosops noctivagus,1978,-67.5000000,-15.6666700,1,67
Marmosops noctivagus,1976,-68.6800000,-9.0800000,1,68
Marmosops noctivagus,1975,-56.7500000,-5.6700000,1,69
Marmosops noctivagus,1974,-54.7000000,-9.1700000,1,70
Marmosops noctivagus,1972,-76.9890000,0.0840000,1,71
Marmosops noctivagus,1971,-71.2170000,-10.1330000,1,72
Marmosops noctivagus,1968,-76.7884200,0.0554860,1,73
Marmosops noctivagus,1968,-77.4830000,-1.7330000,1,74
Marmosops noctivagus,1966,-76.6333330,1.1166670,1,75
Marmosops noctivagus,1965,-76.6166700,-0.4000000,1,76
Marmosops noctivagus,1962,-71.1333310,-12.2000000,1,77
Marmosops noctivagus,1957,-72.7666700,-3.4333330,1,78
Marmosops noctivagus,1956,-74.2166670,-4.8333330,1,79
Marmosops noctivagus,1953,-70.5833360,-13.2500000,1,80
Marmosops noctivagus,1952,-74.6833330,0.1333330,1,81
Marmosops noctivagus,1952,-75.3333330,0.4666670,1,82
Marmosops noctivagus,1951,-70.6333310,-13.2666660,1,83
Marmosops noctivagus,1949,-70.7166670,-13.4000000,1,84
Marmosops noctivagus,1946,-75.9833300,-9.3000000,1,85
Marmosops noctivagus,1936,-77.8170000,-0.9830000,1,86
Sciurus spadiceus,2021,-67.6689210,-9.7500370,0,87
Pithecia pithecia,2018,-60.0329210,-2.0061370,0,88
Leontocebus nigricollis,2018,-76.3092210,-0.4955370,0,89
Ateles chamek,2021,-71.9600210,-7.8742370,0,90
Alouatta sara,2018,-69.6277210,-13.1364370,0,91
Saimiri sciureus,2018,-77.5376210,-1.0765370,0,92
Rhynchonycteris naso,2019,-55.9327210,-9.6172370,0,93
Holochilus sciureus,2021,-66.1002210,-11.0282370,0,94
Aotus nigriceps,2017,-71.3790210,-12.7629370,0,95
Rhynchonycteris naso,2021,-76.2760210,-0.4374370,0,96
Bradypus tridactylus,2011,-60.7716210,-2.8195370,0,97
Chiropotes chiropotes,2010,-52.4135210,3.1896630,0,98
Aotus nigriceps,2011,-70.6071210,-12.5056370,0,99
Sapajus apella,2018,-68.5570210,-9.8496370,0,100
Atelocynus microtis,2018,-69.7190210,-13.0949370,0,101
Lagothrix flavicauda,2007,-76.7906210,-8.6544370,0,102
Saimiri boliviensis,2022,-63.2533210,-17.7678370,0,103
Leontocebus nigricollis,2009,-70.2170210,-3.8072370,0,104
Leontocebus fuscicollis,2015,-73.3046210,-3.7906370,0,105
Mimon bennettii,1970,-70.4328210,-3.8155370,0,106
Proechimys brevicauda,1979,-77.7534210,-4.0230370,0,107
Pithecia hirsuta,2009,-70.2336210,-3.7574370,0,108
Aotus miconax,2009,-77.7949210,-5.9071370,0,109
Cerdocyon thous,2022,-60.7218210,-17.7346370,0,110
Lagothrix lagothricha,2019,-76.3590210,-0.5951370,0,111
Chiropotes albinasus,2021,-55.8829210,-9.4761370,0,112
Saccopteryx leptura,2016,-66.1749210,-11.1278370,0,113
Saimiri boliviensis,1938,-63.6683210,-17.4524370,0,114
Saguinus mystax,1936,-69.8684210,-6.6707370,0,115
Cebus yuracus,2015,-77.6953210,-1.0599370,0,116
Euphractus sexcinctus,2022,-66.1002210,-13.7589370,0,117
Leopardus pardalis,2021,-76.8487210,-0.2216370,0,118
Nectomys rattus,1972,-51.1685210,2.0027630,0,119
Myotis keaysi,1993,-65.8595210,-17.2117370,0,120
Akodon orophilus,1926,-77.2637210,-6.1644370,0,121
Saimiri sciureus,2019,-55.4098210,4.1773630,0,122
Saguinus midas,2019,-52.3969210,4.9326630,0,123
Phyllotis andium,2008,-78.2597210,-7.9157370,0,124
Rhinophylla pumilio,2013,-76.6080210,-5.8822370,0,125
Hippocamelus antisensis,2022,-71.3707210,-15.0786370,0,126
Vampyriscus bidens,2016,-75.8942210,1.4300630,0,127
Alouatta macconnelli,2022,-55.4928210,4.6504630,0,128
Choloepus didactylus,2020,-55.1359210,5.7875630,0,129
Cyclopes didactylus,1983,-73.2465210,-3.0270370,0,130
Gardnerycteris crenulatum,2016,-69.2127210,4.1275630,0,131
Lonchophylla thomasi,1992,-60.4479210,7.3479630,0,132
Mazama nemorivaga,2016,-54.3142210,5.2646630,0,133
Sciurus igniventris,1967,-65.2287210,2.4509630,0,134
Lophostoma schulzi,1999,-60.4977210,7.3728630,0,135
Nasua nasua,2021,-76.6827210,1.2059630,0,136
Isothrix bistriata,2021,-66.1002210,-11.0282370,0,137
Lophostoma silvicolum,2018,-75.2551210,1.7454630,0,138
Trinycteris nicefori,2018,-73.4042210,-3.9400370,0,139
Pteronura brasiliensis,2017,-59.9167210,-2.8610370,0,140
Diclidurus scutatus,1968,-61.7676210,4.3267630,0,141
Saimiri cassiquiarensis,2019,-77.5210210,-1.0682370,0,142
Sciurus spadiceus,2022,-67.8681210,-9.9575370,0,143
Aotus vociferans,1941,-75.7199210,1.4798630,0,144
Saimiri cassiquiarensis,2020,-73.9105210,3.2726630,0,145
Lonchophylla hesperia,1968,-78.8075210,-5.7743370,0,146
Ateles paniscus,2015,-60.0412210,-3.1515370,0,147
Eumops bonariensis,1985,-65.9010210,-14.5640370,0,148
Makalata didelphoides,1971,-74.7156210,-8.2477370,0,149
Eumops patagonicus,1985,-65.0793210,-14.5640370,0,150
Caenolestes sangay,2011,-78.4423210,-2.2302370,0,151
Ateles chamek,2016,-66.7725210,-14.0494370,0,152
Atelocynus microtis,2016,-73.7777210,2.2434630,0,153
Eptesicus andinus,1974,-78.3842210,-5.7992370,0,154
Ateles belzebuth,2016,-76.2345210,-0.7196370,0,155
Galictis vittata,2015,-67.4863210,-15.4770370,0,156
Saimiri cassiquiarensis,2016,-76.3175210,-0.4789370,0,157
Cerradomys maracajuensis,1964,-64.7141210,-13.2858370,0,158
Vicugna vicugna,2020,-78.8656210,-1.5247370,0,159
Nephelomys albigularis,2011,-78.4506210,-2.2385370,0,160
Platyrrhinus aurarius,1998,-66.6148210,6.2938630,0,161
Saguinus bicolor,2018,-60.0910210,-3.1349370,0,162
Trinycteris nicefori,2004,-53.6502210,5.3974630,0,163
Eira barbara,2021,-65.1789210,-18.9132370,0,164
Platyrrhinus aurarius,1967,-65.7184210,3.4303630,0,165
Cebus olivaceus,2019,-58.9954210,4.1773630,0,166
Marmosa rubra,2019,-76.6661210,0.2099630,0,167
Nephelomys keaysi,1992,-67.8515210,-16.3153370,0,168
Plecturocebus discolor,2012,-76.8985210,-0.7860370,0,169
Pithecia hirsuta,2009,-70.2336210,-3.7574370,0,170
Lasiurus intermedius,1993,-69.9431210,-4.2222370,0,171
Herpailurus yagouaroundi,2017,-70.0593210,-3.8404370,0,172
Aotus miconax,2009,-76.5914210,-8.4801370,0,173
Ateles marginatus,2022,-55.5592210,-11.8748370,0,174
Leontocebus nigricollis,2017,-76.2760210,-0.4540370,0,175
Dasyprocta prymnolopha,2019,-48.4876210,-1.4583370,0,176
Coendou prehensilis,2021,-60.1657210,-3.2013370,0,177
Ateles belzebuth,1932,-61.7510210,0.4008630,0,178
Caluromys philander,1973,-55.1774210,5.8290630,0,179
Akodon toba,1984,-62.0000210,-18.2492370,0,180
Choloepus didactylus,2019,-55.4845210,5.7709630,0,181
Dasypus novemcinctus,2022,-73.1718210,-3.5416370,0,182
Dasyprocta variegata,2022,-69.0550210,-12.5720370,0,183
Tonatia saurophila,2007,-52.5380210,-0.8690370,0,184
Nephelomys keaysi,1901,-66.9966210,-15.9999370,0,185
Rhinophylla fischerae,2006,-76.4337210,-0.6864370,0,186
Lagothrix lagothricha,2021,-71.5284210,-13.0451370,0,187
Dermanura anderseni,1974,-72.9311210,-3.4254370,0,188
Saimiri cassiquiarensis,2019,-76.5831210,0.6000630,0,189
Artibeus obscurus,2018,-72.5161210,-3.4752370,0,190
Microsciurus flaviventer,2007,-75.2219210,-0.5702370,0,191
Plecturocebus caquetensis,2009,-75.6369210,1.1229630,0,192
Lagothrix flavicauda,2012,-77.9111210,-5.6000370,0,193
Caluromys lanatus,2021,-76.5665210,-0.4623370,0,194
Tremarctos ornatus,2018,-75.8527210,-9.7749370,0,195
Monodelphis glirina,1986,-68.2416210,-12.1321370,0,196
Marmosa murina,2021,-65.9840210,-11.0365370,0,197
Galictis vittata,2016,-63.0126210,-9.2022370,0,198
Saguinus midas,2020,-55.1857210,4.9990630,0,199
Uroderma magnirostrum,1985,-61.0538210,-17.3528370,0,200
Sciurus spadiceus,1991,-70.8146210,-6.7869370,0,201
Platyrrhinus lineatus,1986,-60.8795210,-14.4976370,0,202
Pithecia pithecia,2011,-52.8617210,2.2351630,0,203
Aotus vociferans,1931,-77.6538210,-4.4131370,0,204
Leopardus tigrinus,2010,-52.7372210,4.0694630,0,205
Cebus yuracus,2021,-76.3507210,-0.0390370,0,206
Cacajao calvus,2020,-64.6809210,-2.9938370,0,207
Holochilus brasiliensis,1985,-62.9960210,-17.4856370,0,208
Alouatta belzebul,2018,-50.7369210,-3.8155370,0,209
Lycalopex culpaeus,2021,-78.4340210,-0.6864370,0,210
Chiroderma villosum,2008,-55.1691210,4.9160630,0,211
Saguinus bicolor,2020,-59.8918210,-3.0270370,0,212
Peropteryx macrotis,2006,-56.8706210,4.4844630,0,213
Choloepus didactylus,2009,-76.7574210,-1.0931370,0,214
Cebuella pygmaea,2015,-76.6827210,1.1229630,0,215
Speothos venaticus,2018,-74.6907210,0.3095630,0,216
Atelocynus microtis,2019,-72.4414210,-0.5536370,0,217
Euryoryzomys macconnelli,1979,-77.7451210,-4.0313370,0,218
Artibeus concolor,2007,-55.1442210,5.8290630,0,219
Lonchorhina aurita,2008,-56.1319210,3.7872630,0,220
Leopardus wiedii,2016,-75.6618210,1.4881630,0,221
Mazama nemorivaga,2017,-52.1064210,4.3184630,0,222
Leontocebus nigricollis,2021,-76.9234210,-0.5038370,0,223
Leontocebus fuscus,2019,-76.5997210,0.6249630,0,224
Vicugna vicugna,2018,-78.8158210,-1.5330370,0,225
Marmosops impavidus,1986,-75.4294210,-11.1693370,0,226
Lonchophylla thomasi,2010,-52.3554210,4.4097630,0,227
Didelphis marsupialis,2022,-60.0827210,-3.0353370,0,228
Philander opossum,2022,-53.0526210,4.9741630,0,229
Ctenomys boliviensis,1988,-63.1537210,-17.3694370,0,230
Lagothrix lagothricha,2017,-70.1838210,-3.7574370,0,231
Ateles chamek,2017,-69.5198210,-12.0657370,0,232
Nectomys apicalis,1955,-72.5327210,-12.9040370,0,233
Marmosa murina,1994,-78.3925210,-4.0977370,0,234
Saimiri boliviensis,2010,-68.9803210,-12.5222370,0,235
Myotis albescens,1992,-57.3271210,5.3227630,0,236
Nephelomys levipes,1900,-70.0012210,-13.5016370,0,237
Cebuella niveiventris,2014,-71.3292210,-12.1155370,0,238
Ateles chamek,2021,-73.7113210,-7.4675370,0,239
Chiropotes albinasus,2019,-55.9576210,-9.5342370,0,240
Uroderma magnirostrum,1986,-52.3637210,-3.6329370,0,241
Caenolestes fuliginosus,1939,-78.1352210,-0.5038370,0,242
Akodon fumeus,1993,-65.5358210,-17.1370370,0,243
Saimiri sciureus,2019,-52.3056210,4.8413630,0,244
Chiropotes albinasus,2021,-55.4098210,-11.9495370,0,245
Cormura brevirostris,2011,-52.1894210,4.3682630,0,246
Ateles paniscus,2017,-53.2435210,3.5963630,0,247
Cormura brevirostris,2003,-73.5287210,-3.9400370,0,248
Ateles chamek,2011,-60.8297210,-8.4635370,0,249
Callimico goeldii,2014,-69.9514210,-7.9904370,0,250
Anoura geoffroyi,2012,-52.4135210,4.5176630,0,251
Sciurus igniventris,1929,-77.3135210,-0.6366370,0,252
Priodontes maximus,2011,-54.3225210,4.0196630,0,253
Lagothrix lagothricha,2022,-77.8447210,-0.7611370,0,254
Vampyrum spectrum,2009,-73.5121210,-12.9455370,0,255
Oecomys bicolor,2019,-77.9360210,-1.0765370,0,256
Sapajus apella,2019,-71.5035210,-13.0368370,0,257
Chiropotes albinasus,2019,-56.0655210,-9.3018370,0,258