"","row_code","flooded_forest","forest_formation","farming","river_lake_ocean","other_non_vegetated","grassland","wetland","mining","urban"
"1",1,0.0163037058888889,0.00315302107692308,0,0,0,0,0,0,0
"2",2,0,0.013954541,0,0,0,0,0,0,0
"3",3,0.0149954592222222,0.00518136488235294,0,0,0,0,0,0,0
"4",4,0,0.0119477311944444,0.00906014595454546,0,0,0,0,0,0
"5",6,0,0.00787293,0,0,0,0,0,0,0
"6",7,0.00229658383333333,0.00139535,0.00255406928571429,0,0,0,0,0,0
"7",8,0,0.017442675,0,0,0,0,0,0,0
"8",9,0,0.01831394,0,0,0,0,0,0,0
"9",10,0.00896339597222222,0.00487181293103448,0.0109305084,0,0,0,0,0,0
"10",11,0.002625359,0.00418112033333333,0,0.00267397166666667,0,0,0,0,0
"11",12,0.000875,0.000875,0,0.006123406,0,0,0,0,0
"12",13,0,0.00232825216666667,0.001821018,0,0.00160067,0,0,0,0
"13",14,0.00376240485714286,0.00828479416666667,0.00939166861538462,0,0,0,0,0,0
"14",15,0,0.0119436190555556,0.00603234708333333,0,0,0,0,0,0
"15",17,0,0,0,0.003491922,0,0,0,0,0
"16",18,0.00616518377777778,0.00156369447368421,0,0,0,0,0,0,0
"17",19,0.0027120788,0.0109598441111111,0,0.00228431008333333,0,0,0,0,0
"18",20,0.00523323775,0,0.0122109113333333,0,0,0,0,0,0
"19",21,0,0.021906852,0,0,0,0,0,0,0
"20",22,0,0.017525194,0,0,0,0,0,0,0
"21",23,0.0123543933888889,0.00552311887878788,0.000872,0,0,0,0,0,0
"22",24,0.00603352619444444,0.00346501738888889,0.00697860060869565,0,0,0,0,0,0
"23",25,0,0.0126322641388889,0.00276729088235294,0,0,0,0,0,0
"24",26,0,0.017526805,0,0,0,0,0,0,0
"25",27,0.00838496486111111,0.00615118375757576,0,0.00347551469444444,0,0,0,0,0
"26",28,0,0.0150178279166667,0.00820482245454545,0,0,0,0,0,0
"27",29,0.00444799386666667,0.00145354533333333,0.006818679,0.00690458027777778,0.00120750538461538,0.000872,0,0,0
"28",30,0.0017496826,0.00488430752777778,0,0.00187110327777778,0,0,0,0,0
"29",31,0,0.013953519,0,0,0,0,0,0,0
"30",32,0.0121008312777778,0.000873,0.00124714871428571,0.00249430380952381,0.001455008,0,0,0,0
"31",33,0.00651100509090909,0.0168866902121212,0,0,0,0,0,0,0
"32",34,0.00806749055555556,0.0010464646,0.00289057688571429,0.0013953956,0.000872,0,0,0,0
"33",35,0.017470148,0,0,0,0,0,0,0,0
"34",36,0.013971265,0,0,0,0,0,0,0,0
"35",37,0.00668630166666667,0.00239994890322581,0,0.008752974,0,0,0,0,0
"36",38,0.00526112033333333,0,0.0121951094722222,0,0,0,0,0,0
"37",39,0.0107174065555556,0,0.00531684077272727,0,0,0,0,0,0
"38",40,0,0.00448742082758621,0.00635478979310345,0,0,0,0,0,0
"39",41,0,0.00645323165384615,0.0130082166857143,0.006117102,0,0,0,0,0
"40",42,0,0.0107717818055556,0.00320239277777778,0,0,0,0,0,0
"41",43,0,0.013986248,0,0,0,0,0,0,0
"42",44,0.010478773,0,0,0,0,0,0,0,0
"43",45,0.0133411346666667,0,0.0022704168,0,0,0,0,0,0
"44",46,0.013982005,0.0022680652,0.00650304936363636,0.00232625822222222,0,0,0,0,0
"45",47,0,0.00391996154285714,0.00521756661764706,0,0,0,0,0,0
"46",48,0.000874,0.00233072575757576,0.0117750425,0,0,0,0,0,0
"47",49,0,0.017444561,0,0,0,0,0,0,0
"48",50,0.00787490571428571,0.0159685516666667,0,0,0,0,0,0,0
"49",51,0.013967094,0,0,0,0,0,0,0,0
"50",52,0,0.017469025,0,0,0,0,0,0,0
"51",53,0.017459547,0,0,0,0,0,0,0,0
"52",54,0.0110124409722222,0,0.0121333377894737,0,0.000873,0.000873,0,0,0
"53",55,0,0.00390088291666667,0.00230888967647059,0.000896235888888889,0,0,0,0,0
"54",56,0.00468268377777778,0.0101373510606061,0,0,0,0,0,0,0
"55",57,0,0.00271593655555556,0.000997708428571428,0,0,0,0,0,0
"56",58,0,0.0149727023888889,0.0039248825,0.00215477926470588,0,0,0,0,0
"57",59,0,0.0204945396666667,0.00336384335714286,0,0,0,0,0,0
"58",60,0.00835057163636364,0.0149448365,0,0,0,0,0,0,0
"59",61,0.00249953942857143,0.0135107797777778,0.0097977368,0.0019245888,0,0,0.006998385,0,0
"60",62,0,0.00673437252777778,0.0044693943125,0,0,0,0,0,0
"61",63,0,0.006969526,0,0,0,0,0,0,0
"62",64,0.0174613,0,0,0,0,0,0,0,0
"63",65,0,0.017441844,0,0,0,0,0,0,0
"64",66,0.00994438175,0.0152747633888889,0,0,0,0,0,0,0
"65",67,0.000875,0.0115746641428571,0.011374668,0.00177425686111111,0,0,0,0,0
"66",68,0.0165839989444444,0,0.0052371315,0,0,0,0,0,0
"67",69,0,0.0127410051388889,0,0.00124194712121212,0.000872,0,0,0,0
"68",71,0.01861204108,0,0.01281541856,0,0,0,0,0,0
"69",72,0,0.00850537389285714,0,0.00591247338888889,0.0034312312,0,0,0,0
"70",73,0.00922540911111111,0.0154646921944444,0,0.000874,0.003962068,0,0,0,0
"71",74,0.0127149938055556,0,0.00741102716666667,0,0,0,0,0,0
"72",76,0,0.00834584868965517,0.0105577913333333,0,0.0034951155,0,0,0,0
"73",77,0,0.006122238,0.0165203399444444,0,0.004154387,0,0,0,0
"74",78,0.00174946785714286,0.00941170384,0.00230616790909091,0.00527942875,0.0104525529,0,0,0,0
"75",79,0.0162293629166667,0,0.00322452438461538,0.002619982,0,0,0,0,0
"76",80,0.0054160466,0.0199219183611111,0.00495014766666667,0,0,0,0,0,0
"77",81,0,0.01204440915625,0.00633050057894737,0,0,0,0,0,0
"78",82,0,0.0101426920277778,0.00826099694117647,0,0,0,0,0,0
"79",83,0,0.00508453961764706,0.0117141464722222,0,0.004256378125,0,0,0,0
"80",84,0.00787557096969697,0.00370649644444444,0.00337474217391304,0,0,0,0,0,0
"81",85,0,0.017478089,0,0,0,0,0,0,0
"82",86,0,0.0122599326388889,0.00458552522857143,0.000872,0,0,0,0,0
"83",87,0,0.00802033483333333,0.00731607712903226,0.00319839733333333,0.00436144652941176,0,0,0,0
"84",89,0,0.0170068647777778,0.0015698376,0,0,0,0,0,0
"85",91,0.000875,0.000875,0,0.009622522,0,0,0,0,0
"86",92,0,0,0.00461452094285714,0,0.00385154764705882,0,0,0.010294346375,0.005518724
"87",93,0,0.00494693083333333,0.0159077931111111,0,0,0.005237937,0,0.001745974,0.00979687105555556
"88",94,0.0118732794166667,0.000872,0.0036201418,0,0,0,0,0,0
"89",95,0.00420915797058824,0.0104791723225806,0.00859501347368421,0,0,0,0.000878,0,0
"90",96,0,0.017444361,0,0,0,0,0,0,0
"91",97,0,0.0117611029444444,0.00461219094117647,0,0,0,0,0,0
"92",98,0.0173447541111111,0.000872,0,0,0,0,0,0,0
"93",100,0,0.014031246,0,0,0,0,0,0,0
"94",102,0.000878,0.0124983238823529,0.0049935209375,0,0,0,0,0,0
"95",103,0,0.0124293023333333,0.00610562266666667,0,0,0,0,0,0
"96",104,0.004505672,0.00711876682857143,0,0.00333040995238095,0,0,0,0,0
"97",105,0.000877,0.0174872261666667,0,0,0,0,0,0,0
"98",106,0.00589555008,0.00455019843478261,0.00672780339285714,0.00101155424,0.00140876138461538,0,0,0,0
"99",107,0.000874,0.00354469166666667,0.0103912955555556,0,0,0,0,0,0
"100",109,0.017459565,0,0,0,0,0,0,0,0
"101",110,0,0,0.00662013116666667,0,0.00494691633333333,0.000873,0,0.00974833641666667,0.00836862034482759
"102",111,0,0.0144135377777778,0.006813113,0,0,0,0,0,0
"103",112,0.0137805293611111,0,0.000872,0.000872,0,0,0,0,0
"104",113,0.0114734930277778,0,0.0056214938125,0,0,0,0,0,0
"105",114,0,0.0214051134722222,0.00134887172727273,0,0,0,0,0,0
"106",115,0.0111927243333333,0,0.0027410706,0.00116277433333333,0,0,0,0,0
"107",116,0,0.0215314193888889,0.00149642428571429,0,0,0,0,0,0
"108",117,0.0044767395483871,0,0.00857859811428571,0.00277026604347826,0,0,0,0,0
"109",118,0,0.014440668862069,0.0142226896666667,0,0,0,0,0,0
"110",120,0,0.021796799,0,0,0,0,0,0,0
"111",121,0,0.013996302,0,0,0,0,0,0,0
"112",122,0.013972048,0,0,0,0,0,0,0,0
"113",123,0,0.0180181663333333,0.00780218122222222,0,0.000878,0,0,0,0
"114",125,0,0.0147215341428571,0.00530659031818182,0,0,0,0,0,0
"115",126,0,0,0.0025149784,0.00865999038888889,0.00403367661904762,0,0,0.0043663786,0
"116",127,0,0.0167555059166667,0.00311311885714286,0,0.000872,0,0,0,0
"117",128,0,0,0,0.017459565,0,0,0,0,0
"118",129,0.0124176725555556,0,0.00216527572,0,0,0,0.000873,0,0
"119",130,0,0.017456715,0,0,0,0,0,0,0
"120",132,0,0,0.0126227245,0,0,0,0,0.00654781966666667,0.0150714565789474
"121",133,0.00510305083333333,0.0129032628611111,0.0015746776,0,0,0,0.000875,0,0
"122",134,0.00762704097142857,0,0.005066466,0.00637319027777778,0,0,0,0,0
"123",135,0.0063363935625,0.0146149854444444,0.001747969,0,0,0,0,0,0
"124",136,0,0.017472619,0,0,0,0,0,0,0
"125",137,0.001748609,0.0128474339166667,0.000874,0.001748609,0,0,0,0,0
"126",140,0,0.017539356,0,0,0,0,0,0,0
"127",141,0.0131626301538462,0.003055594,0.0116612015,0,0,0,0,0,0.00698425929411765
"128",142,0.00369356711111111,0.0125384430555556,0,0.00403368088888889,0,0,0,0,0
"129",147,0,0.0142795841764706,0.00693998538095238,0,0.000878,0,0,0,0
"130",148,0,0.017539114,0,0,0,0,0,0,0
"131",149,0.00564316838235294,0.0125247669722222,0.0094771394,0,0,0,0,0,0
"132",150,0,0,0.0100593013043478,0,0,0,0,0.00486425171428571,0.0107943339545455
"133",152,0,0.00771507147222222,0.00804780625,0,0,0,0,0,0
"134",153,0,0.0112205071818182,0.000872,0.0103944828333333,0.000872,0,0,0,0
"135",155,0.0128400657222222,0.00233020533333333,0.00475737433333333,0.00344383782352941,0,0,0,0,0
"136",156,0.00589867758333333,0.0155112839722222,0,0,0,0,0,0,0
"137",157,0.0012204176,0.00843408893548387,0.0017432845,0.00474214405882353,0.0052292318,0,0,0.0054470255,0
"138",158,0,0.0012223168,0.0110265537428571,0,0,0,0,0,0.00852995023076923
"139",160,0,0.017441926,0,0,0,0,0,0,0
"140",161,0.003834752,0.016314028625,0.0110394206666667,0,0.0055779972,0,0,0.0050548974,0
"141",162,0,0,0.00480161085714286,0.009287991,0.00305557,0,0,0.00468844314814815,0.002619061
"142",163,0.00526408661111111,0,0.00863605566666667,0,0.00174662,0,0,0.000873,0
"143",164,0.013971735,0,0,0,0,0,0,0,0
"144",165,0,0.01116684,0.00739811571428571,0,0,0,0,0,0
"145",167,0.000873,0.0131189793333333,0.00499345152,0,0,0,0,0,0
"146",168,0.000878,0.0154576896969697,0.00932004830769231,0,0,0,0,0,0
"147",169,0,0.013953373,0,0,0,0,0,0,0
"148",171,0,0.01231819921875,0.0066940860625,0,0.00438956,0,0,0,0
"149",172,0,0.017456508,0,0,0,0,0,0,0
"150",173,0,0.00518788436363636,0.0108768208333333,0,0,0,0,0,0
"151",174,0,0.01337976868,0.0106998638125,0,0,0,0,0,0
"152",175,0.00231259788235294,0.0035590587037037,0.00564466484615385,0.00946369741666667,0.00152907225,0,0,0,0
"153",176,0.004375599,0.00896998191666667,0.00187522925,0.0033303145,0,0,0,0,0
"154",177,0.0166883933888889,0,0.00465722766666667,0,0,0,0,0,0
"155",178,0.001746418,0,0.0136560395833333,0,0.00421192988235294,0,0,0.007968043375,0
"156",179,0,0.013942221,0,0,0,0,0,0,0
"157",180,0,0.0209478116944444,0.000873,0.0025312237,0.000873,0,0,0,0
"158",181,0.00722089126315789,0.0140567490285714,0,0,0,0,0,0,0
"159",182,0.00324577528571429,0.0148071068888889,0.0062918032,0.000874,0,0,0,0,0
"160",183,0.000873,0.00448902385714286,0.0165601950277778,0,0,0,0,0,0
"161",185,0,0,0,0.017459637,0,0,0,0,0
"162",186,0.0158467646388889,0,0.002398636375,0,0,0,0,0,0
"163",187,0,0.0115422945,0.00596074131578947,0,0,0,0,0,0
"164",188,0.013971579,0,0,0,0,0,0,0,0
"165",191,0,0.0107806567222222,0.00407000608333333,0.0031396751,0.00425168425,0,0,0,0
"166",193,0.00632489794444444,0,0.00751233275,0,0.0010902005,0,0,0,0
"167",195,0,0.016987104,0.005524926,0,0,0,0,0,0
